"Year","REGION..Region","AGE..Age","SEX..Sex","Total"
2013,"Australian Capital Territory","0-4","Female",50880
2013,"Australian Capital Territory","0-4","Male",54501
2013,"Australian Capital Territory","10-14","Female",41837
2013,"Australian Capital Territory","10-14","Male",43086
2013,"Australian Capital Territory","15-19","Female",47898
2013,"Australian Capital Territory","15-19","Male",50259
2013,"Australian Capital Territory","20-24","Female",65352
2013,"Australian Capital Territory","20-24","Male",67268
2013,"Australian Capital Territory","25-29","Female",68366
2013,"Australian Capital Territory","25-29","Male",68963
2013,"Australian Capital Territory","30-34","Female",64147
2013,"Australian Capital Territory","30-34","Male",63591
2013,"Australian Capital Territory","35-39","Female",55679
2013,"Australian Capital Territory","35-39","Male",56961
2013,"Australian Capital Territory","40-44","Female",56676
2013,"Australian Capital Territory","40-44","Male",55719
2013,"Australian Capital Territory","45-49","Female",50632
2013,"Australian Capital Territory","45-49","Male",48807
2013,"Australian Capital Territory","5-9","Female",44918
2013,"Australian Capital Territory","5-9","Male",48157
2013,"Australian Capital Territory","50-54","Female",49908
2013,"Australian Capital Territory","50-54","Male",48068
2013,"Australian Capital Territory","55-59","Female",43827
2013,"Australian Capital Territory","55-59","Male",41409
2013,"Australian Capital Territory","60-64","Female",38713
2013,"Australian Capital Territory","60-64","Male",36234
2013,"Australian Capital Territory","65-69","Female",31653
2013,"Australian Capital Territory","65-69","Male",29853
2013,"Australian Capital Territory","70-74","Female",21297
2013,"Australian Capital Territory","70-74","Male",19587
2013,"Australian Capital Territory","80-84","Female",11920
2013,"Australian Capital Territory","80-84","Male",9142
2013,"Australian Capital Territory","85 and over","Female",13755
2013,"Australian Capital Territory","85 and over","Male",7611
2013,"Australian Capital Territory","A75: 75-79","Female",15985
2013,"Australian Capital Territory","A75: 75-79","Male",13688
2013,"New South Wales","0-4","Female",950630
2013,"New South Wales","0-4","Male",1004996
2013,"New South Wales","10-14","Female",865821
2013,"New South Wales","10-14","Male",915922
2013,"New South Wales","15-19","Female",901337
2013,"New South Wales","15-19","Male",950168
2013,"New South Wales","20-24","Female",998827
2013,"New South Wales","20-24","Male",1040241
2013,"New South Wales","25-29","Female",1071470
2013,"New South Wales","25-29","Male",1075211
2013,"New South Wales","30-34","Female",1057870
2013,"New South Wales","30-34","Male",1053891
2013,"New South Wales","35-39","Female",998939
2013,"New South Wales","35-39","Male",989410
2013,"New South Wales","40-44","Female",1061551
2013,"New South Wales","40-44","Male",1028593
2013,"New South Wales","45-49","Female",978706
2013,"New South Wales","45-49","Male",952998
2013,"New South Wales","5-9","Female",906326
2013,"New South Wales","5-9","Male",961308
2013,"New South Wales","50-54","Female",1008605
2013,"New South Wales","50-54","Male",986169
2013,"New South Wales","55-59","Female",916174
2013,"New South Wales","55-59","Male",890345
2013,"New South Wales","60-64","Female",814982
2013,"New South Wales","60-64","Male",796969
2013,"New South Wales","65-69","Female",715908
2013,"New South Wales","65-69","Male",709314
2013,"New South Wales","70-74","Female",534141
2013,"New South Wales","70-74","Male",510243
2013,"New South Wales","80-84","Female",345677
2013,"New South Wales","80-84","Male",267141
2013,"New South Wales","85 and over","Female",395455
2013,"New South Wales","85 and over","Male",215871
2013,"New South Wales","A75: 75-79","Female",426079
2013,"New South Wales","A75: 75-79","Male",375543
2013,"Northern Territory","0-4","Female",37342
2013,"Northern Territory","0-4","Male",39472
2013,"Northern Territory","10-14","Female",32190
2013,"Northern Territory","10-14","Male",34100
2013,"Northern Territory","15-19","Female",29504
2013,"Northern Territory","15-19","Male",33665
2013,"Northern Territory","20-24","Female",37103
2013,"Northern Territory","20-24","Male",43143
2013,"Northern Territory","25-29","Female",45356
2013,"Northern Territory","25-29","Male",50324
2013,"Northern Territory","30-34","Female",41260
2013,"Northern Territory","30-34","Male",45031
2013,"Northern Territory","35-39","Female",35770
2013,"Northern Territory","35-39","Male",38382
2013,"Northern Territory","40-44","Female",35229
2013,"Northern Territory","40-44","Male",38133
2013,"Northern Territory","45-49","Female",31266
2013,"Northern Territory","45-49","Male",33695
2013,"Northern Territory","5-9","Female",34191
2013,"Northern Territory","5-9","Male",36388
2013,"Northern Territory","50-54","Female",29851
2013,"Northern Territory","50-54","Male",32460
2013,"Northern Territory","55-59","Female",25167
2013,"Northern Territory","55-59","Male",27423
2013,"Northern Territory","60-64","Female",18565
2013,"Northern Territory","60-64","Male",22223
2013,"Northern Territory","65-69","Female",11939
2013,"Northern Territory","65-69","Male",15264
2013,"Northern Territory","70-74","Female",7043
2013,"Northern Territory","70-74","Male",8783
2013,"Northern Territory","80-84","Female",2458
2013,"Northern Territory","80-84","Male",2320
2013,"Northern Territory","85 and over","Female",1833
2013,"Northern Territory","85 and over","Male",1235
2013,"Northern Territory","A75: 75-79","Female",3978
2013,"Northern Territory","A75: 75-79","Male",4348
2013,"Queensland","0-4","Female",617545
2013,"Queensland","0-4","Male",650430
2013,"Queensland","10-14","Female",579136
2013,"Queensland","10-14","Male",610850
2013,"Queensland","15-19","Female",602473
2013,"Queensland","15-19","Male",628787
2013,"Queensland","20-24","Female",659975
2013,"Queensland","20-24","Male",675095
2013,"Queensland","25-29","Female",674881
2013,"Queensland","25-29","Male",682879
2013,"Queensland","30-34","Female",644898
2013,"Queensland","30-34","Male",647088
2013,"Queensland","35-39","Female",626093
2013,"Queensland","35-39","Male",616494
2013,"Queensland","40-44","Female",684587
2013,"Queensland","40-44","Male",667048
2013,"Queensland","45-49","Female",627512
2013,"Queensland","45-49","Male",610947
2013,"Queensland","5-9","Female",604107
2013,"Queensland","5-9","Male",640206
2013,"Queensland","50-54","Female",630680
2013,"Queensland","50-54","Male",614348
2013,"Queensland","55-59","Female",558035
2013,"Queensland","55-59","Male",544454
2013,"Queensland","60-64","Female",500139
2013,"Queensland","60-64","Male",498823
2013,"Queensland","65-69","Female",433024
2013,"Queensland","65-69","Male",437977
2013,"Queensland","70-74","Female",309838
2013,"Queensland","70-74","Male",306487
2013,"Queensland","80-84","Female",176936
2013,"Queensland","80-84","Male",140085
2013,"Queensland","85 and over","Female",195406
2013,"Queensland","85 and over","Male",109926
2013,"Queensland","A75: 75-79","Female",226857
2013,"Queensland","A75: 75-79","Male",209431
2013,"South Australia","0-4","Female",196740
2013,"South Australia","0-4","Male",207813
2013,"South Australia","10-14","Female",190090
2013,"South Australia","10-14","Male",199230
2013,"South Australia","15-19","Female",204297
2013,"South Australia","15-19","Male",215450
2013,"South Australia","20-24","Female",224226
2013,"South Australia","20-24","Male",237130
2013,"South Australia","25-29","Female",226011
2013,"South Australia","25-29","Male",232515
2013,"South Australia","30-34","Female",214787
2013,"South Australia","30-34","Male",217521
2013,"South Australia","35-39","Female",204863
2013,"South Australia","35-39","Male",207674
2013,"South Australia","40-44","Female",232198
2013,"South Australia","40-44","Male",230382
2013,"South Australia","45-49","Female",226821
2013,"South Australia","45-49","Male",224148
2013,"South Australia","5-9","Female",192719
2013,"South Australia","5-9","Male",201445
2013,"South Australia","50-54","Female",235063
2013,"South Australia","50-54","Male",229459
2013,"South Australia","55-59","Female",217750
2013,"South Australia","55-59","Male",209981
2013,"South Australia","60-64","Female",201558
2013,"South Australia","60-64","Male",193247
2013,"South Australia","65-69","Female",178390
2013,"South Australia","65-69","Male",169917
2013,"South Australia","70-74","Female",131929
2013,"South Australia","70-74","Male",121940
2013,"South Australia","80-84","Female",88346
2013,"South Australia","80-84","Male",67545
2013,"South Australia","85 and over","Female",106254
2013,"South Australia","85 and over","Male",57525
2013,"South Australia","A75: 75-79","Female",105962
2013,"South Australia","A75: 75-79","Male",91983
2013,"Tasmania","0-4","Female",60422
2013,"Tasmania","0-4","Male",64726
2013,"Tasmania","10-14","Female",61206
2013,"Tasmania","10-14","Male",65141
2013,"Tasmania","15-19","Female",63375
2013,"Tasmania","15-19","Male",68777
2013,"Tasmania","20-24","Female",60581
2013,"Tasmania","20-24","Male",65212
2013,"Tasmania","25-29","Female",60860
2013,"Tasmania","25-29","Male",60773
2013,"Tasmania","30-34","Female",59597
2013,"Tasmania","30-34","Male",58037
2013,"Tasmania","35-39","Female",59505
2013,"Tasmania","35-39","Male",58013
2013,"Tasmania","40-44","Female",70978
2013,"Tasmania","40-44","Male",67874
2013,"Tasmania","45-49","Female",69657
2013,"Tasmania","45-49","Male",66495
2013,"Tasmania","5-9","Female",60929
2013,"Tasmania","5-9","Male",65569
2013,"Tasmania","50-54","Female",76681
2013,"Tasmania","50-54","Male",74162
2013,"Tasmania","55-59","Female",72275
2013,"Tasmania","55-59","Male",70591
2013,"Tasmania","60-64","Female",66994
2013,"Tasmania","60-64","Male",66720
2013,"Tasmania","65-69","Female",58778
2013,"Tasmania","65-69","Male",59189
2013,"Tasmania","70-74","Female",42675
2013,"Tasmania","70-74","Male",42568
2013,"Tasmania","80-84","Female",25754
2013,"Tasmania","80-84","Male",20311
2013,"Tasmania","85 and over","Female",27625
2013,"Tasmania","85 and over","Male",15432
2013,"Tasmania","A75: 75-79","Female",32916
2013,"Tasmania","A75: 75-79","Male",29598
2013,"Victoria","0-4","Female",727772
2013,"Victoria","0-4","Male",768752
2013,"Victoria","10-14","Female",654844
2013,"Victoria","10-14","Male",686597
2013,"Victoria","15-19","Female",706111
2013,"Victoria","15-19","Male",742357
2013,"Victoria","20-24","Female",829257
2013,"Victoria","20-24","Male",857307
2013,"Victoria","25-29","Female",893304
2013,"Victoria","25-29","Male",901596
2013,"Victoria","30-34","Female",854061
2013,"Victoria","30-34","Male",853606
2013,"Victoria","35-39","Female",793165
2013,"Victoria","35-39","Male",787264
2013,"Victoria","40-44","Female",852933
2013,"Victoria","40-44","Male",819664
2013,"Victoria","45-49","Female",781781
2013,"Victoria","45-49","Male",753504
2013,"Victoria","5-9","Female",688303
2013,"Victoria","5-9","Male",726964
2013,"Victoria","50-54","Female",771088
2013,"Victoria","50-54","Male",746439
2013,"Victoria","55-59","Female",698180
2013,"Victoria","55-59","Male",669715
2013,"Victoria","60-64","Female",622975
2013,"Victoria","60-64","Male",594946
2013,"Victoria","65-69","Female",541706
2013,"Victoria","65-69","Male",520642
2013,"Victoria","70-74","Female",402926
2013,"Victoria","70-74","Male",378855
2013,"Victoria","80-84","Female",262958
2013,"Victoria","80-84","Male",200759
2013,"Victoria","85 and over","Female",294400
2013,"Victoria","85 and over","Male",164235
2013,"Victoria","A75: 75-79","Female",323894
2013,"Victoria","A75: 75-79","Male",281808
2013,"Western Australia","0-4","Female",327983
2013,"Western Australia","0-4","Male",344057
2013,"Western Australia","10-14","Female",296695
2013,"Western Australia","10-14","Male",307267
2013,"Western Australia","15-19","Female",304781
2013,"Western Australia","15-19","Male",322754
2013,"Western Australia","20-24","Female",355649
2013,"Western Australia","20-24","Male",376185
2013,"Western Australia","25-29","Female",397473
2013,"Western Australia","25-29","Male",427392
2013,"Western Australia","30-34","Female",366293
2013,"Western Australia","30-34","Male",390677
2013,"Western Australia","35-39","Female",337636
2013,"Western Australia","35-39","Male",349399
2013,"Western Australia","40-44","Female",360783
2013,"Western Australia","40-44","Male",371733
2013,"Western Australia","45-49","Female",335249
2013,"Western Australia","45-49","Male",341264
2013,"Western Australia","5-9","Female",313370
2013,"Western Australia","5-9","Male",327215
2013,"Western Australia","50-54","Female",329349
2013,"Western Australia","50-54","Male",330568
2013,"Western Australia","55-59","Female",294056
2013,"Western Australia","55-59","Male",291702
2013,"Western Australia","60-64","Female",254918
2013,"Western Australia","60-64","Male",254839
2013,"Western Australia","65-69","Female",207673
2013,"Western Australia","65-69","Male",211286
2013,"Western Australia","70-74","Female",152042
2013,"Western Australia","70-74","Male",146999
2013,"Western Australia","80-84","Female",90480
2013,"Western Australia","80-84","Male",69605
2013,"Western Australia","85 and over","Female",97805
2013,"Western Australia","85 and over","Male",54378
2013,"Western Australia","A75: 75-79","Female",117416
2013,"Western Australia","A75: 75-79","Male",103688
2014,"Australian Capital Territory","0-4","Female",52162
2014,"Australian Capital Territory","0-4","Male",55729
2014,"Australian Capital Territory","10-14","Female",41731
2014,"Australian Capital Territory","10-14","Male",43461
2014,"Australian Capital Territory","15-19","Female",48552
2014,"Australian Capital Territory","15-19","Male",50320
2014,"Australian Capital Territory","20-24","Female",64513
2014,"Australian Capital Territory","20-24","Male",66696
2014,"Australian Capital Territory","25-29","Female",68558
2014,"Australian Capital Territory","25-29","Male",67993
2014,"Australian Capital Territory","30-34","Female",66365
2014,"Australian Capital Territory","30-34","Male",65674
2014,"Australian Capital Territory","35-39","Female",56508
2014,"Australian Capital Territory","35-39","Male",57873
2014,"Australian Capital Territory","40-44","Female",57036
2014,"Australian Capital Territory","40-44","Male",56306
2014,"Australian Capital Territory","45-49","Female",51118
2014,"Australian Capital Territory","45-49","Male",49308
2014,"Australian Capital Territory","5-9","Female",46465
2014,"Australian Capital Territory","5-9","Male",49951
2014,"Australian Capital Territory","50-54","Female",50055
2014,"Australian Capital Territory","50-54","Male",48155
2014,"Australian Capital Territory","55-59","Female",44956
2014,"Australian Capital Territory","55-59","Male",41847
2014,"Australian Capital Territory","60-64","Female",38980
2014,"Australian Capital Territory","60-64","Male",36408
2014,"Australian Capital Territory","65-69","Female",33249
2014,"Australian Capital Territory","65-69","Male",31486
2014,"Australian Capital Territory","70-74","Female",22644
2014,"Australian Capital Territory","70-74","Male",20477
2014,"Australian Capital Territory","80-84","Female",12146
2014,"Australian Capital Territory","80-84","Male",9363
2014,"Australian Capital Territory","85 and over","Female",14230
2014,"Australian Capital Territory","85 and over","Male",8096
2014,"Australian Capital Territory","A75: 75-79","Female",16710
2014,"Australian Capital Territory","A75: 75-79","Male",14503
2014,"New South Wales","0-4","Female",958285
2014,"New South Wales","0-4","Male",1013257
2014,"New South Wales","10-14","Female",868036
2014,"New South Wales","10-14","Male",919737
2014,"New South Wales","15-19","Female",902450
2014,"New South Wales","15-19","Male",952522
2014,"New South Wales","20-24","Female",1012751
2014,"New South Wales","20-24","Male",1055105
2014,"New South Wales","25-29","Female",1094847
2014,"New South Wales","25-29","Male",1095188
2014,"New South Wales","30-34","Female",1090921
2014,"New South Wales","30-34","Male",1082783
2014,"New South Wales","35-39","Female",1000940
2014,"New South Wales","35-39","Male",992843
2014,"New South Wales","40-44","Female",1066187
2014,"New South Wales","40-44","Male",1036950
2014,"New South Wales","45-49","Female",982432
2014,"New South Wales","45-49","Male",948883
2014,"New South Wales","5-9","Female",930137
2014,"New South Wales","5-9","Male",983611
2014,"New South Wales","50-54","Female",1015241
2014,"New South Wales","50-54","Male",990009
2014,"New South Wales","55-59","Female",934706
2014,"New South Wales","55-59","Male",904836
2014,"New South Wales","60-64","Female",831850
2014,"New South Wales","60-64","Male",805709
2014,"New South Wales","65-69","Female",738745
2014,"New South Wales","65-69","Male",729553
2014,"New South Wales","70-74","Female",556050
2014,"New South Wales","70-74","Male",532395
2014,"New South Wales","80-84","Female",342485
2014,"New South Wales","80-84","Male",268422
2014,"New South Wales","85 and over","Female",404764
2014,"New South Wales","85 and over","Male",227075
2014,"New South Wales","A75: 75-79","Female",437549
2014,"New South Wales","A75: 75-79","Male",387381
2014,"Northern Territory","0-4","Female",37386
2014,"Northern Territory","0-4","Male",39420
2014,"Northern Territory","10-14","Female",31615
2014,"Northern Territory","10-14","Male",33541
2014,"Northern Territory","15-19","Female",28840
2014,"Northern Territory","15-19","Male",32427
2014,"Northern Territory","20-24","Female",36804
2014,"Northern Territory","20-24","Male",41480
2014,"Northern Territory","25-29","Female",45563
2014,"Northern Territory","25-29","Male",51324
2014,"Northern Territory","30-34","Female",42822
2014,"Northern Territory","30-34","Male",46143
2014,"Northern Territory","35-39","Female",35935
2014,"Northern Territory","35-39","Male",38476
2014,"Northern Territory","40-44","Female",34816
2014,"Northern Territory","40-44","Male",38348
2014,"Northern Territory","45-49","Female",31893
2014,"Northern Territory","45-49","Male",34023
2014,"Northern Territory","5-9","Female",34536
2014,"Northern Territory","5-9","Male",36530
2014,"Northern Territory","50-54","Female",29975
2014,"Northern Territory","50-54","Male",32722
2014,"Northern Territory","55-59","Female",25468
2014,"Northern Territory","55-59","Male",27544
2014,"Northern Territory","60-64","Female",19289
2014,"Northern Territory","60-64","Male",22358
2014,"Northern Territory","65-69","Female",12471
2014,"Northern Territory","65-69","Male",16035
2014,"Northern Territory","70-74","Female",7623
2014,"Northern Territory","70-74","Male",9291
2014,"Northern Territory","80-84","Female",2550
2014,"Northern Territory","80-84","Male",2302
2014,"Northern Territory","85 and over","Female",1988
2014,"Northern Territory","85 and over","Male",1350
2014,"Northern Territory","A75: 75-79","Female",4142
2014,"Northern Territory","A75: 75-79","Male",4608
2014,"Queensland","0-4","Female",620368
2014,"Queensland","0-4","Male",652605
2014,"Queensland","10-14","Female",583457
2014,"Queensland","10-14","Male",615879
2014,"Queensland","15-19","Female",602412
2014,"Queensland","15-19","Male",627501
2014,"Queensland","20-24","Female",666047
2014,"Queensland","20-24","Male",685947
2014,"Queensland","25-29","Female",681884
2014,"Queensland","25-29","Male",683790
2014,"Queensland","30-34","Female",662904
2014,"Queensland","30-34","Male",661028
2014,"Queensland","35-39","Female",622915
2014,"Queensland","35-39","Male",610763
2014,"Queensland","40-44","Female",687449
2014,"Queensland","40-44","Male",669418
2014,"Queensland","45-49","Female",635065
2014,"Queensland","45-49","Male",613064
2014,"Queensland","5-9","Female",619269
2014,"Queensland","5-9","Male",656395
2014,"Queensland","50-54","Female",638557
2014,"Queensland","50-54","Male",619941
2014,"Queensland","55-59","Female",571880
2014,"Queensland","55-59","Male",555553
2014,"Queensland","60-64","Female",510748
2014,"Queensland","60-64","Male",502254
2014,"Queensland","65-69","Female",450501
2014,"Queensland","65-69","Male",455072
2014,"Queensland","70-74","Female",326940
2014,"Queensland","70-74","Male",322498
2014,"Queensland","80-84","Female",177209
2014,"Queensland","80-84","Male",142432
2014,"Queensland","85 and over","Female",201975
2014,"Queensland","85 and over","Male",115493
2014,"Queensland","A75: 75-79","Female",237107
2014,"Queensland","A75: 75-79","Male",220396
2014,"South Australia","0-4","Female",198586
2014,"South Australia","0-4","Male",210004
2014,"South Australia","10-14","Female",189148
2014,"South Australia","10-14","Male",198881
2014,"South Australia","15-19","Female",204685
2014,"South Australia","15-19","Male",215588
2014,"South Australia","20-24","Female",224738
2014,"South Australia","20-24","Male",236693
2014,"South Australia","25-29","Female",227678
2014,"South Australia","25-29","Male",232633
